Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
0.43,-0.12,0.27,0.06,9.15,-3.71,1.0,0.02
0.53,-0.05,0.16,-0.08,9.17,-3.67,0.97,0.02
0.63,-0.06,0.06,-0.06,9.17,-3.66,0.97,0.03
0.74,-0.2,0.01,0.15,9.12,-3.69,0.95,0.03
0.8,-0.19,-0.03,0.07,9.09,-3.7,0.92,0.03
0.89,-0.08,0.04,-0.05,9.14,-3.71,0.95,0.03
1.0,-0.1,0.11,0.05,9.14,-3.73,0.97,0.04
1.08,-0.13,0.11,0.01,9.08,-3.77,0.93,0.04
1.18,-0.1,0.04,-0.09,9.11,-3.75,0.95,0.04
1.27,-0.09,0.1,0.02,9.15,-3.69,1.0,0.05
1.48,-0.06,0.14,0.06,9.1,-3.68,1.01,0.06
1.48,0.02,0.12,-0.02,9.09,-3.7,1.0,0.06
1.54,-0.04,0.09,0.06,9.14,-3.68,0.98,0.06
1.64,-0.23,0.07,0.19,9.13,-3.66,0.96,0.07
1.74,-0.17,0.01,0.14,9.09,-3.67,0.93,0.07
1.81,0.03,-0.05,0.05,9.07,-3.68,0.93,0.08
1.9,-0.01,0.01,0.1,9.09,-3.69,0.93,0.08
1.99,-0.22,0.02,0.17,9.12,-3.69,0.97,0.08
2.22,-0.24,0.02,0.15,9.17,-3.7,0.97,0.08
2.22,-0.07,0.07,0.04,9.16,-3.67,0.93,0.08
2.42,-0.0,0.07,0.01,9.14,-3.63,0.96,0.08
2.42,-0.08,0.12,0.1,9.15,-3.66,0.99,0.08
2.47,-0.11,0.13,0.06,9.13,-3.67,0.99,0.08
2.55,-0.09,0.12,0.02,9.12,-3.67,0.95,0.07
2.64,0.0,0.02,0.13,9.14,-3.68,0.92,0.07
2.74,0.08,-0.15,0.15,9.15,-3.69,0.93,0.07
2.82,-0.02,-0.09,0.12,9.14,-3.68,0.91,0.07
2.93,-0.11,0.01,0.13,9.12,-3.67,0.92,0.07
3.01,-0.01,0.0,0.04,9.09,-3.67,0.98,0.07
3.12,0.06,-0.02,-0.1,9.09,-3.68,1.04,0.07
3.31,0.01,-0.12,0.02,9.09,-3.71,1.0,0.06
3.31,-0.05,-0.01,0.23,9.11,-3.72,0.93,0.06
3.39,-0.05,0.17,0.25,9.16,-3.71,0.93,0.06
3.49,-0.0,0.01,0.21,9.15,-3.7,0.92,0.07
3.57,0.01,-0.1,0.14,9.13,-3.7,0.9,0.07
3.66,0.02,0.08,-0.0,9.14,-3.69,0.97,0.07
3.75,-0.01,0.09,-0.03,9.1,-3.7,1.0,0.07
3.86,-0.13,0.01,-0.02,9.08,-3.71,0.98,0.07
3.95,-0.17,0.04,-0.06,9.1,-3.72,0.96,0.08
4.04,-0.12,-0.02,-0.03,9.11,-3.71,0.96,0.09
4.24,-0.1,-0.05,-0.07,9.11,-3.66,0.96,0.09
4.24,-0.07,0.03,-0.03,9.05,-3.67,0.99,0.09
4.3,-0.03,0.03,0.06,9.07,-3.7,0.98,0.09
4.39,-0.06,-0.01,0.07,9.18,-3.66,0.94,0.09
4.48,-0.18,0.01,0.1,9.17,-3.68,0.93,0.09
4.58,-0.2,-0.02,0.01,9.12,-3.73,0.96,0.09
4.68,-0.14,-0.02,-0.01,9.11,-3.7,0.98,0.09
4.76,-0.13,0.02,0.03,9.09,-3.7,0.93,0.09
4.86,-0.06,0.01,-0.09,9.12,-3.71,0.92,0.09
4.95,-0.04,0.02,-0.05,9.13,-3.67,0.95,0.09
5.14,-0.07,0.08,0.04,9.12,-3.63,0.93,0.09
