Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
10.76,-0.35,-0.71,-43.64,12.71,1.13,0.49,-0.25
10.85,-0.22,0.2,-4.85,7.02,-0.07,1.04,-0.25
10.95,-0.26,0.2,-39.14,10.18,-3.17,1.04,-0.25
11.04,-0.11,-0.07,-32.33,9.96,-1.63,0.93,-0.25
11.13,-0.13,0.09,-28.28,9.46,-1.64,0.94,-0.25
11.22,-0.18,0.12,-31.56,9.71,-1.94,0.96,-0.25
11.29,-0.17,0.02,-31.02,9.69,-1.82,0.94,-0.25
11.4,-0.18,0.03,-30.45,9.66,-1.8,0.89,-0.25
11.49,-0.17,0.08,-30.73,9.67,-1.82,0.89,-0.25
11.59,-0.1,-0.03,-30.74,9.67,-1.81,0.91,-0.25
11.77,-0.08,-0.06,-30.68,9.71,-1.82,0.86,-0.25
11.77,-0.15,0.03,-30.68,9.72,-1.85,0.88,-0.25
11.87,-0.11,0.03,-30.64,9.68,-1.87,0.97,-0.25
11.95,-0.1,0.08,-30.62,9.67,-1.86,0.99,-0.25
12.05,-0.28,0.1,-30.72,9.7,-1.82,0.93,-0.26
12.14,-0.3,0.01,-30.73,9.68,-1.82,0.88,-0.26
12.24,-0.15,-0.02,-30.71,9.65,-1.85,0.9,-0.26
12.33,-0.15,0.08,-30.74,9.67,-1.83,0.96,-0.26
12.4,-0.15,0.14,-30.72,9.68,-1.8,0.98,-0.26
12.5,-0.09,0.04,-30.63,9.72,-1.83,0.97,-0.26
12.71,-0.08,-0.01,-30.65,9.77,-1.86,0.96,-0.26
12.71,-0.08,0.04,-30.77,9.7,-1.86,0.97,-0.26
12.79,-0.13,-0.01,-30.68,9.66,-1.82,0.99,-0.26
12.86,-0.17,-0.14,-30.63,9.68,-1.82,0.97,-0.26
12.97,-0.1,-0.06,-30.81,9.64,-1.85,0.9,-0.26
13.07,-0.07,-0.01,-30.8,9.63,-1.87,0.85,-0.26
13.15,-0.19,0.02,-30.66,9.66,-1.86,0.88,-0.26
13.26,-0.29,0.17,-30.71,9.65,-1.84,0.91,-0.26
13.49,-0.27,0.16,-30.76,9.63,-1.89,0.93,-0.26
13.49,-0.2,0.06,-30.66,9.68,-1.89,0.98,-0.26
13.69,-0.14,-0.01,-30.65,9.73,-1.84,0.95,-0.26
13.69,-0.03,0.03,-30.73,9.67,-1.85,0.89,-0.26
13.69,-0.07,0.09,-30.71,9.63,-1.89,0.93,-0.26
13.79,-0.16,0.07,-30.7,9.68,-1.89,0.93,-0.26
13.87,-0.17,0.03,-30.68,9.71,-1.87,0.9,-0.26
13.98,-0.23,0.02,-30.63,9.69,-1.87,0.92,-0.26
14.08,-0.13,0.06,-30.7,9.7,-1.84,0.92,-0.26
14.15,0.0,0.11,-30.79,9.71,-1.83,0.93,-0.26
14.24,-0.14,0.05,-30.84,9.7,-1.85,0.92,-0.26
14.39,-0.24,0.03,-30.83,9.71,-1.87,0.93,-0.26
14.59,-0.14,0.16,-30.77,9.71,-1.88,0.98,-0.26
14.59,-0.11,0.23,-30.71,9.72,-1.88,0.94,-0.26
14.62,-0.17,0.17,-30.71,9.69,-1.86,0.89,-0.26
14.7,-0.16,0.07,-30.72,9.64,-1.81,0.92,-0.26
14.81,-0.11,0.04,-30.72,9.67,-1.79,0.92,-0.26
14.91,-0.13,0.08,-30.72,9.7,-1.82,0.94,-0.27
