Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
0.33,0.11,-0.01,0.0,9.78,-1.37,0.95,-0.0
0.42,-0.04,0.07,-0.04,9.78,-1.37,0.88,0.0
0.52,-0.12,0.06,-0.05,9.76,-1.34,0.87,0.0
0.59,-0.08,-0.03,0.08,9.76,-1.35,0.91,0.0
0.68,-0.04,0.01,0.07,9.78,-1.39,0.94,0.0
0.79,0.03,0.03,-0.09,9.75,-1.41,0.93,0.0
0.87,0.05,0.02,-0.04,9.73,-1.4,0.93,0.0
0.97,-0.09,0.04,0.04,9.77,-1.4,1.0,0.0
1.06,-0.14,0.05,-0.02,9.76,-1.37,1.03,0.0
1.14,0.04,0.02,-0.06,9.74,-1.37,0.94,0.0
1.37,0.0,-0.0,-0.06,9.77,-1.41,0.94,-0.0
1.37,-0.17,0.04,0.04,9.78,-1.38,0.99,-0.0
1.42,-0.12,0.06,0.09,9.78,-1.34,0.91,0.0
1.52,-0.01,-0.05,-0.01,9.75,-1.41,0.87,0.0
1.74,-0.06,-0.16,-0.03,9.73,-1.44,0.9,0.0
1.74,-0.14,-0.05,0.02,9.78,-1.35,0.94,0.0
1.8,-0.03,0.01,0.07,9.79,-1.33,0.96,0.0
1.89,0.09,-0.06,0.09,9.77,-1.37,0.94,0.0
1.97,0.06,0.01,0.1,9.76,-1.38,0.92,0.0
2.06,-0.06,0.01,0.03,9.76,-1.34,0.89,0.0
2.25,-0.14,0.04,-0.06,9.77,-1.34,0.91,0.01
2.26,-0.04,0.13,0.0,9.78,-1.38,0.96,0.0
2.33,-0.04,0.08,0.04,9.78,-1.39,0.93,0.01
2.43,-0.11,0.06,-0.01,9.75,-1.4,0.94,0.01
2.56,-0.16,0.07,0.04,9.74,-1.41,0.95,0.01
2.61,-0.19,0.07,0.05,9.76,-1.39,0.92,0.01
2.71,-0.2,-0.06,-0.04,9.77,-1.38,0.91,0.01
2.8,-0.22,-0.13,-0.05,9.75,-1.4,0.95,0.01
2.91,-0.11,0.12,-0.09,9.73,-1.4,0.97,0.01
2.99,-0.02,0.24,-0.08,9.74,-1.37,0.94,0.01
3.24,-0.05,0.01,0.12,9.74,-1.34,0.93,0.01
3.25,-0.1,-0.02,0.22,9.72,-1.33,0.94,0.01
3.26,-0.08,0.14,0.17,9.74,-1.36,0.95,0.01
3.36,-0.04,0.23,0.15,9.77,-1.38,0.97,0.01
3.45,-0.07,0.19,0.1,9.76,-1.35,0.93,0.01
3.55,-0.14,0.01,0.05,9.72,-1.34,0.91,0.01
3.64,-0.04,0.02,0.05,9.73,-1.37,0.9,0.01
3.73,-0.03,0.04,0.07,9.76,-1.4,0.93,0.01
3.81,-0.09,-0.07,-0.01,9.76,-1.37,0.95,0.01
3.91,0.03,0.02,-0.01,9.73,-1.33,0.94,0.01
4.22,0.01,0.05,-0.02,9.71,-1.36,1.02,0.01
4.22,-0.05,-0.01,-0.18,9.75,-1.38,1.05,0.01
4.22,-0.04,0.11,-0.11,9.75,-1.34,0.99,0.01
4.28,-0.11,0.15,-0.01,9.74,-1.37,0.91,0.01
4.38,-0.19,0.06,-0.03,9.75,-1.4,0.91,0.01
4.47,-0.09,0.02,0.0,9.74,-1.37,0.96,0.01
4.56,0.02,0.03,-0.06,9.77,-1.35,0.94,0.01
4.63,0.01,0.08,-0.08,9.82,-1.38,0.89,0.01
4.73,0.06,0.05,0.04,9.79,-1.4,0.89,0.01
4.82,-0.04,0.05,0.08,9.76,-1.39,0.95,0.01
5.02,-0.21,0.06,0.04,9.75,-1.38,0.97,0.01
5.02,-0.17,-0.02,-0.01,9.73,-1.36,0.93,0.01
5.11,-0.03,0.01,-0.04,9.72,-1.36,0.91,0.0
5.19,0.1,-0.01,-0.08,9.76,-1.43,0.95,0.0
5.31,0.05,-0.01,-0.09,9.79,-1.44,0.95,0.0
5.38,-0.15,0.04,0.02,9.78,-1.37,0.88,0.0
5.46,-0.2,-0.0,0.02,9.77,-1.38,0.93,0.0
5.6,-0.14,0.07,-0.02,9.75,-1.43,1.0,0.0
5.66,-0.1,0.1,0.03,9.75,-1.4,0.95,-0.0
5.76,-0.12,-0.04,0.06,9.79,-1.38,0.9,-0.0
6.01,-0.12,-0.01,0.05,9.81,-1.4,0.92,-0.0
6.02,0.01,0.11,-0.02,9.74,-1.4,0.93,-0.0
6.04,0.0,0.14,0.04,9.73,-1.4,0.93,0.0
6.12,-0.05,0.15,0.15,9.79,-1.37,0.92,0.0
6.22,-0.08,0.11,0.09,9.8,-1.35,0.89,0.0
6.31,-0.17,0.07,0.02,9.78,-1.38,0.92,-0.0
6.4,0.02,0.1,0.02,9.79,-1.39,0.92,-0.0
6.5,0.13,0.11,0.02,9.79,-1.4,0.86,-0.0
6.58,-0.06,0.09,0.03,9.78,-1.39,0.9,0.0
6.68,-0.1,0.14,-0.05,9.76,-1.4,0.97,0.0
6.88,-0.06,0.16,-0.12,9.78,-1.38,0.96,0.0
6.88,-0.1,0.08,-0.07,9.8,-1.37,0.92,0.0
6.95,-0.14,0.02,-0.05,9.72,-1.44,0.93,-0.0
7.05,-0.14,0.05,-0.06,9.68,-1.45,0.97,-0.0
7.14,-0.03,0.15,0.13,9.74,-1.37,0.94,-0.01
7.23,0.01,0.22,0.25,9.77,-1.37,0.92,-0.01
7.32,-0.05,0.14,0.05,9.77,-1.38,0.95,-0.01
7.42,-0.09,0.04,-0.01,9.76,-1.39,0.94,-0.01
7.5,-0.15,0.07,0.06,9.76,-1.4,0.93,-0.0
7.6,-0.08,0.06,0.11,9.77,-1.38,0.95,-0.0
7.81,0.03,-0.04,0.12,9.78,-1.36,0.92,-0.0
7.81,0.04,0.09,0.09,9.78,-1.37,0.89,-0.0
7.86,0.08,0.18,0.12,9.77,-1.37,0.97,-0.0
7.97,0.02,0.07,0.1,9.75,-1.38,1.03,-0.0
8.04,-0.21,0.04,0.05,9.72,-1.36,0.97,-0.0
8.15,-0.26,0.04,0.01,9.73,-1.33,0.95,-0.0
8.23,0.02,0.02,0.02,9.76,-1.33,0.95,-0.0
8.33,0.14,0.03,0.08,9.77,-1.31,0.92,0.0
8.43,-0.5,2.48,-68.16,10.9,8.89,2.55,0.05
8.53,-0.92,5.35,-253.97,11.17,13.5,3.72,0.51
8.72,-0.54,2.96,-379.84,8.24,2.57,1.08,0.78
8.73,-1.08,0.2,-350.65,4.15,5.16,-0.35,0.69
8.8,-2.13,0.65,-316.84,-1.17,8.75,1.09,0.63
8.87,-2.03,0.58,-328.01,-5.91,5.14,1.1,0.63
8.99,-1.14,-0.37,-339.08,-7.89,4.86,0.02,0.71
9.08,-0.64,-0.85,-346.47,-8.59,-2.86,0.2,0.89
9.16,-0.92,-1.45,-349.83,-6.25,-7.46,0.47,1.11
9.26,-1.29,-2.91,-342.87,-0.71,-4.83,-0.05,1.3
9.35,-1.41,-2.81,-332.27,4.26,-9.85,0.3,1.42
9.43,-2.08,-2.85,-326.48,8.46,-8.32,0.66,1.43
9.63,-2.59,-4.99,-326.58,11.62,4.06,0.05,1.36
9.63,-1.57,-5.55,-333.0,10.48,9.16,0.22,1.22
9.72,-0.62,-5.63,-335.75,6.05,12.42,0.66,1.04
9.81,-0.68,-5.41,-327.66,1.62,16.25,0.21,0.84
9.9,0.01,-3.65,-318.38,-3.34,13.05,0.23,0.71
9.98,0.67,-3.03,-319.85,-7.92,7.61,0.63,0.71
10.08,-0.85,-2.74,-330.54,-8.86,6.1,0.46,0.88
10.18,-2.0,-2.05,-342.99,-7.62,1.6,0.56,1.07
10.26,-1.75,-2.73,-347.09,-5.06,-5.3,0.87,1.22
10.35,-1.85,-3.49,-345.32,-0.28,-8.63,0.79,1.33
10.55,-1.84,-3.09,-341.01,4.31,-10.05,0.97,1.34
10.55,-1.52,-3.05,-335.77,8.39,-2.61,1.11,1.23
10.64,-1.59,-3.26,-342.41,9.76,3.49,0.89,1.09
10.72,-1.81,-2.88,-348.8,6.66,2.39,0.9,0.93
10.84,-1.71,-2.0,-340.21,2.55,8.12,0.86,0.74
10.9,-1.39,-0.85,-326.46,-1.98,11.86,0.8,0.6
11.01,-1.32,-0.32,-323.73,-6.65,7.19,0.97,0.57
11.09,-1.67,-0.31,-334.25,-9.46,2.65,0.88,0.66
11.18,-1.6,0.5,-344.85,-9.89,-3.67,0.77,0.86
11.28,-1.0,1.44,-353.4,-7.9,-12.18,0.96,1.05
11.48,-0.62,0.77,-356.61,-2.47,-13.27,0.6,1.23
11.48,-0.49,0.2,-348.55,4.21,-10.93,-0.02,1.32
11.55,-0.11,0.66,-339.37,7.51,-12.59,0.21,1.23
11.65,-0.1,0.14,-337.53,9.68,-5.79,0.33,1.07
11.74,-0.51,0.08,-337.09,10.87,5.79,-0.16,0.87
11.84,-0.25,1.36,-332.45,6.59,6.87,-0.07,0.66
11.91,-0.03,2.2,-322.99,0.54,7.17,0.52,0.52
12.02,-0.79,2.72,-319.08,-3.66,9.58,0.79,0.5
12.11,-1.28,2.07,-321.31,-7.47,6.1,0.93,0.58
12.19,-0.99,1.24,-322.57,-9.01,2.24,1.23,0.79
12.4,-0.96,1.92,-327.1,-6.38,0.16,1.05,1.06
12.4,-1.17,1.96,-337.02,-2.53,-4.89,1.16,1.26
12.47,-1.07,2.36,-347.22,1.65,-7.93,1.93,1.4
12.58,-0.8,3.82,-345.6,7.32,-2.67,1.75,1.41
12.66,-0.32,4.85,-341.6,10.17,-0.62,1.62,1.29
12.75,-0.56,6.07,-348.2,8.68,-2.03,2.47,1.22
12.86,-1.66,5.96,-354.04,6.63,7.22,2.3,1.04
