Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
8.17,-0.12,-0.12,0.21,0.1,-9.85,0.8,-0.05
8.25,-0.02,0.05,-0.02,0.25,-9.74,0.69,-0.05
8.35,-0.02,-0.03,0.01,0.23,-9.75,0.76,-0.05
8.44,-0.1,-0.01,-0.0,0.2,-9.79,0.79,-0.06
8.55,-0.2,0.08,0.03,0.19,-9.82,0.75,-0.05
8.64,-0.13,0.07,0.1,0.18,-9.83,0.79,-0.05
8.72,-0.08,0.02,0.08,0.19,-9.82,0.76,-0.05
8.82,-0.05,-0.01,0.14,0.21,-9.78,0.69,-0.05
8.91,0.02,-0.03,0.14,0.18,-9.79,0.71,-0.05
9.0,-0.06,0.01,-0.01,0.2,-9.8,0.74,-0.04
9.2,-0.08,0.05,-0.03,0.24,-9.76,0.74,-0.04
9.2,-0.03,0.02,-0.02,0.2,-9.77,0.74,-0.05
9.26,-0.06,0.01,-0.01,0.15,-9.79,0.72,-0.05
9.37,-0.09,-0.02,0.04,0.18,-9.78,0.71,-0.05
9.47,-0.05,-0.05,0.05,0.21,-9.82,0.73,-0.05
9.56,-0.04,-0.03,-0.01,0.21,-9.82,0.75,-0.05
9.64,-0.03,0.02,-0.03,0.21,-9.77,0.74,-0.04
9.74,-0.01,0.02,0.03,0.2,-9.75,0.69,-0.04
9.83,-0.09,0.02,0.04,0.19,-9.76,0.69,-0.03
9.92,-0.12,0.01,0.0,0.18,-9.78,0.8,-0.03
10.68,-0.02,0.01,-0.02,0.19,-9.79,0.82,-0.02
10.68,-0.05,0.05,0.02,0.2,-9.78,0.75,-0.02
10.69,-0.04,0.1,0.07,0.15,-9.79,0.73,-0.01
10.69,0.02,0.09,0.03,0.15,-9.79,0.7,-0.01
10.69,-0.03,0.1,-0.06,0.21,-9.76,0.73,-0.0
10.69,-0.1,0.06,0.03,0.22,-9.77,0.79,-0.01
10.7,-0.06,-0.02,0.05,0.24,-9.81,0.72,-0.01
10.7,-0.01,0.06,-0.01,0.23,-9.79,0.69,-0.01
10.73,-0.02,0.09,0.04,0.2,-9.76,0.75,-0.01
10.84,-0.07,-0.05,-0.01,0.19,-9.77,0.75,-0.01
11.03,-0.14,-0.03,-0.09,0.2,-9.82,0.74,-0.01
11.03,-0.17,0.02,0.05,0.23,-9.8,0.75,-0.01
11.1,-0.09,-0.01,0.2,0.2,-9.77,0.74,-0.01
11.2,0.03,-0.03,0.13,0.17,-9.79,0.76,-0.01
11.29,-0.05,-0.04,0.09,0.17,-9.77,0.78,-0.01
11.39,-0.14,0.04,0.14,0.22,-9.74,0.74,-0.01
11.49,-0.03,0.11,0.08,0.25,-9.73,0.73,-0.0
11.56,-0.06,0.1,0.06,0.2,-9.75,0.78,-0.0
11.66,-0.13,0.09,0.02,0.21,-9.81,0.78,0.0
11.77,-0.02,0.0,-0.04,0.21,-9.81,0.73,0.01
11.95,-0.02,-0.0,-0.02,0.18,-9.77,0.73,0.01
11.95,-0.07,0.1,-0.03,0.22,-9.76,0.71,0.01
12.04,-0.05,0.04,0.04,0.22,-9.79,0.72,0.01
12.13,-0.01,-0.01,0.03,0.18,-9.79,0.77,0.01
12.22,0.01,0.07,0.02,0.21,-9.82,0.76,0.01
12.31,0.04,0.02,0.03,0.21,-9.84,0.74,0.01
12.41,0.08,-0.05,0.04,0.18,-9.79,0.77,0.0
12.5,-0.01,0.01,0.09,0.18,-9.77,0.76,0.0
12.59,-0.1,0.05,0.04,0.17,-9.77,0.75,-0.0
12.68,-0.08,0.06,-0.04,0.17,-9.76,0.75,-0.0
