Time[s],RateRoll[deg/s],RatePitch[deg/s],RateYaw[deg/s],AccX[m/s^2],AccY[m/s^2],AccZ[m/s^2],Torque[Ncm]
0.06,-0.07,-0.0,0.14,2.04,-9.57,0.86,-0.05
0.12,-0.06,0.07,0.07,2.01,-9.6,0.91,-0.05
0.23,-0.07,0.0,-0.02,1.99,-9.63,0.85,-0.05
0.31,-0.24,-0.18,-0.03,2.03,-9.59,0.8,-0.05
0.42,-0.24,-0.14,0.18,2.08,-9.57,0.83,-0.05
0.51,-0.05,0.05,0.2,2.07,-9.56,0.85,-0.05
0.6,-0.07,0.05,-0.08,2.07,-9.55,0.87,-0.05
0.7,-0.17,-0.0,-0.09,2.07,-9.56,0.88,-0.04
1.24,-0.14,-0.01,0.08,2.05,-9.56,0.86,-0.04
1.25,-0.12,0.03,0.01,2.09,-9.55,0.88,-0.04
1.48,-0.12,0.12,-0.04,2.09,-9.53,0.86,-0.04
1.48,-0.11,0.09,0.1,2.03,-9.54,0.84,-0.04
1.48,-0.17,0.05,0.13,2.03,-9.57,0.85,-0.04
1.48,-0.19,0.07,0.08,2.1,-9.56,0.86,-0.04
1.48,-0.14,0.1,0.03,2.09,-9.57,0.87,-0.04
1.48,-0.06,0.17,0.01,2.01,-9.57,0.81,-0.04
1.51,-0.04,0.23,0.01,2.04,-9.55,0.79,-0.04
1.6,-0.06,0.08,-0.03,2.1,-9.56,0.85,-0.04
1.69,-0.1,-0.13,0.08,2.06,-9.56,0.86,-0.04
1.8,-0.16,-0.04,0.16,2.04,-9.57,0.89,-0.03
2.01,-0.11,0.1,0.0,2.11,-9.6,0.91,-0.04
2.01,-0.05,0.08,0.03,2.12,-9.58,0.85,-0.03
2.09,-0.06,0.02,0.1,2.07,-9.56,0.82,-0.03
2.16,-0.13,0.07,-0.1,2.04,-9.59,0.81,-0.03
2.24,-0.17,0.2,-0.09,2.07,-9.6,0.8,-0.03
2.35,-0.14,0.1,0.07,2.11,-9.59,0.84,-0.03
2.43,-0.06,-0.06,0.06,2.12,-9.56,0.86,-0.03
2.52,0.01,-0.0,0.08,2.09,-9.56,0.78,-0.03
2.63,-0.01,0.06,0.06,2.06,-9.58,0.78,-0.03
2.71,-0.07,0.03,-0.07,2.05,-9.59,0.85,-0.03
2.9,-0.11,0.04,-0.06,2.08,-9.56,0.89,-0.03
2.9,-0.14,0.05,-0.04,2.08,-9.55,0.89,-0.03
2.98,-0.15,0.07,-0.05,2.05,-9.58,0.88,-0.03
3.08,-0.15,0.14,0.13,2.05,-9.58,0.86,-0.03
3.17,-0.17,0.1,0.18,2.04,-9.59,0.84,-0.03
3.27,-0.2,-0.05,0.03,2.07,-9.57,0.86,-0.03
3.36,-0.19,-0.06,-0.03,2.08,-9.51,0.9,-0.03
3.45,-0.11,0.06,-0.06,2.03,-9.55,0.9,-0.03
3.53,0.01,0.1,-0.01,2.04,-9.6,0.81,-0.03
3.65,-0.03,0.09,0.08,2.06,-9.58,0.77,-0.03
3.85,-0.09,0.1,0.09,2.05,-9.57,0.82,-0.03
3.85,-0.0,0.1,0.09,2.07,-9.55,0.8,-0.03
3.9,0.05,0.05,-0.03,2.07,-9.6,0.82,-0.03
4.01,-0.04,-0.0,-0.11,2.02,-9.66,0.88,-0.03
4.11,-0.26,-0.04,-0.02,2.05,-9.59,0.83,-0.03
4.2,-0.27,-0.05,0.06,2.07,-9.53,0.78,-0.03
4.27,-0.14,0.03,0.07,2.02,-9.55,0.77,-0.03
4.39,-0.14,0.02,-0.0,2.05,-9.56,0.82,-0.03
4.47,-0.17,-0.02,-0.03,2.1,-9.56,0.86,-0.03
4.55,-0.17,0.1,0.05,2.08,-9.57,0.85,-0.03
4.73,-0.1,0.15,0.05,2.07,-9.61,0.85,-0.03
4.74,-0.09,0.08,-0.02,2.05,-9.64,0.83,-0.03
4.82,-0.14,0.13,0.01,2.04,-9.59,0.85,-0.03
4.92,-0.05,0.17,0.09,2.03,-9.55,0.91,-0.03
5.02,-0.01,0.09,0.01,2.05,-9.56,0.89,-0.03
5.11,-0.07,-0.01,-0.03,2.06,-9.57,0.83,-0.03
5.19,-0.03,0.01,0.11,2.07,-9.56,0.85,-0.03
5.3,-0.05,0.13,0.11,2.11,-9.58,0.81,-0.03
5.38,-0.05,0.05,0.02,2.08,-9.58,0.79,-0.02
5.47,1.85,0.02,-154.92,4.77,-6.33,0.37,0.45
5.65,3.44,2.19,-378.15,10.26,2.58,-0.03,2.1
5.66,0.98,6.9,-381.07,10.52,-1.67,1.55,3.06
5.77,-1.21,8.57,-350.36,6.53,-14.23,2.91,3.12
5.85,-1.58,7.03,-390.86,4.82,-3.95,1.93,2.92
5.92,-2.6,6.53,-393.11,0.81,3.91,1.5,3.36
6.05,-3.0,5.26,-387.34,-6.57,-8.89,2.28,3.94
6.13,-1.84,3.15,-386.45,-10.72,-15.9,2.74,3.55
6.21,0.15,0.89,-383.72,-9.94,-7.72,2.44,2.09
6.3,1.47,-0.57,-384.22,-6.63,-1.52,2.6,0.45
6.41,1.56,-0.53,-387.44,-2.25,-11.72,4.7,-0.05
6.61,2.35,-3.81,-371.7,4.11,-6.27,3.72,0.93
6.63,3.2,-7.75,-345.24,10.45,18.19,-0.17,2.49
6.68,2.54,-8.28,-330.54,12.16,17.97,-0.74,3.07
6.77,2.28,-8.92,-331.09,11.31,14.56,-0.23,2.57
6.85,2.7,-8.82,-340.57,9.65,24.0,0.43,2.12
6.96,3.28,-7.52,-351.65,4.69,25.64,0.84,2.46
7.05,3.31,-5.3,-359.27,-2.0,19.64,0.48,3.1
7.12,0.44,2.18,-353.98,-7.51,8.63,0.72,3.0
7.23,-1.33,5.79,-334.32,-8.9,6.37,-0.34,1.72
7.32,0.31,-0.99,-189.48,-10.04,1.26,-0.86,-0.21
7.5,1.72,-2.1,6.17,-11.64,-5.64,-0.08,-2.58
7.51,1.64,-1.8,23.17,-8.08,-0.34,-0.12,-4.04
7.6,-0.41,-5.88,2.71,-5.76,-3.98,1.04,-4.66
7.69,-1.45,-1.49,24.06,-7.8,-8.6,1.75,-4.92
7.8,-0.53,2.58,23.74,-8.82,-3.49,0.39,-4.83
7.86,-0.0,-0.04,47.85,-9.06,-3.85,0.41,-4.6
7.98,-0.04,-1.47,74.29,-9.46,-6.1,0.79,-4.26
8.06,-0.5,-0.54,81.96,-9.57,-5.2,0.58,-3.84
8.14,-0.27,-1.04,65.01,-9.34,-0.65,0.71,-3.33
8.25,-0.14,-2.49,80.09,-9.15,2.18,0.43,-2.71
8.43,-0.6,-1.27,124.13,-9.3,-1.04,0.26,-2.18
8.43,-0.9,-0.56,122.19,-9.67,1.31,0.86,-1.68
8.52,-2.53,-1.77,130.86,-9.09,3.69,0.9,-1.21
8.61,-2.96,-2.85,129.26,-7.4,4.41,-0.13,-0.86
8.7,-1.69,-1.86,104.36,-6.14,8.59,0.06,-0.74
8.8,-3.44,2.55,143.72,-4.38,6.21,1.12,-0.94
8.89,-2.08,0.91,181.74,-2.42,5.11,0.71,-1.42
8.98,0.56,-1.21,157.52,-0.39,8.21,0.48,-1.98
9.06,-2.44,0.27,138.72,2.29,8.48,0.95,-2.45
9.18,-1.21,-4.81,170.94,4.95,11.06,-0.17,-2.7
9.37,1.39,-1.49,230.47,7.41,8.46,-0.88,-2.8
9.37,-0.31,1.87,222.36,9.32,4.66,-0.58,-2.6
9.43,-0.0,-5.3,201.11,10.47,3.47,-0.91,-2.16
9.54,0.5,-4.52,223.11,10.59,-0.78,-1.06,-1.65
9.61,-0.6,-0.51,219.43,9.93,-3.85,-0.92,-1.23
9.71,-0.79,-1.11,205.5,8.94,-5.31,-1.24,-1.15
9.81,-1.33,0.97,206.67,6.56,-9.2,-0.73,-1.49
9.9,-2.08,3.64,212.04,3.14,-13.02,0.16,-2.26
9.98,-1.07,2.65,207.79,0.13,-11.38,-1.01,-3.19
10.08,-0.5,4.72,207.08,-3.19,-13.13,-1.35,-3.98
10.27,-1.35,8.7,201.88,-6.15,-15.44,0.02,-4.61
10.27,-1.91,8.99,193.14,-8.17,-12.24,0.95,-4.98
10.36,-1.92,8.5,198.38,-9.91,-10.7,1.67,-4.83
10.47,-1.52,8.28,197.68,-10.03,-5.63,0.9,-3.76
10.54,-1.54,8.02,200.51,-9.45,-0.82,0.35,-2.3
10.64,-1.94,7.12,210.3,-8.81,-0.8,1.02,-1.26
10.73,-1.6,5.16,209.83,-6.48,4.58,0.37,-0.53
10.82,-1.03,4.5,209.52,-4.07,7.98,0.04,-0.11
10.9,0.25,4.19,210.37,-1.65,6.51,0.68,-0.31
11.01,0.46,2.47,214.0,1.82,8.24,0.15,-1.06
11.18,-0.42,-0.08,218.07,4.77,8.6,-0.32,-1.91
11.19,0.45,-0.79,213.23,6.99,6.92,-0.12,-2.48
11.29,0.59,-0.45,208.13,9.1,5.77,-0.6,-2.62
11.38,-0.67,-1.02,216.28,10.28,2.2,-0.88,-2.22
11.45,-1.18,-0.29,219.63,10.3,-1.58,-0.71,-1.27
11.56,-0.25,-0.43,210.18,9.84,-4.43,-1.01,-0.27
11.63,0.04,-2.48,210.57,8.63,-7.27,-1.3,0.14
11.74,-1.16,-2.78,215.01,6.51,-8.49,-1.37,-0.23
11.83,-1.82,-2.23,211.16,3.53,-9.79,-1.2,-1.31
11.91,-1.0,-4.64,203.24,0.43,-9.92,-0.97,-2.63
12.1,-0.45,-4.96,203.8,-2.24,-8.94,-1.01,-3.7
12.11,-1.34,-1.95,214.34,-4.84,-9.19,-1.03,-4.69
12.21,-1.11,-2.95,211.39,-7.08,-7.42,-0.83,-5.32
12.28,-0.0,-5.99,194.04,-8.2,-3.11,-0.36,-5.29
12.4,0.77,-7.25,189.16,-8.88,-0.24,-0.11,-4.52
12.49,0.86,-8.13,190.4,-8.95,0.8,-0.12,-3.29
12.56,0.61,-9.35,179.63,-7.67,3.22,-0.16,-2.13
12.66,0.66,-9.42,175.44,-6.3,6.16,-0.21,-1.02
12.76,0.97,-9.34,172.04,-4.32,11.93,0.11,-0.43
12.87,0.78,-9.14,167.52,-1.48,15.95,0.38,-0.59
13.04,0.1,-8.1,169.97,1.56,14.65,0.43,-1.22
13.04,-0.16,-6.39,163.94,4.4,16.92,1.38,-2.02
13.13,-0.39,-5.01,159.43,6.74,18.01,1.94,-2.73
13.21,-0.67,-3.45,170.87,8.69,13.32,1.83,-2.97
13.33,-0.83,-1.6,170.16,10.04,10.03,2.03,-2.6
13.41,-0.6,0.19,159.89,10.46,7.67,2.26,-1.65
13.48,-1.02,5.26,164.36,9.28,-0.95,3.43,-0.61
13.59,-1.2,10.28,168.19,7.56,-7.04,4.21,-0.13
13.68,-1.18,10.41,165.96,5.88,-7.34,3.57,-0.57
13.76,-2.16,8.45,174.64,3.62,-11.0,2.91,-1.74
13.94,-2.16,9.02,184.06,0.74,-13.56,2.52,-3.09
13.97,-0.82,9.79,183.99,-2.72,-16.24,1.55,-4.26
14.03,-0.44,9.85,190.56,-5.85,-17.93,1.32,-5.25
14.14,-1.93,10.43,192.77,-8.01,-15.03,2.11,-6.07
14.22,-2.75,9.43,189.53,-9.59,-11.75,1.85,-6.24
14.32,-1.98,8.57,197.92,-10.65,-8.88,1.51,-5.58
14.4,-1.15,7.37,200.11,-9.85,-1.67,0.57,-4.47
14.5,-1.1,5.56,202.81,-7.76,6.23,-0.66,-3.06
14.6,-1.36,4.56,216.74,-6.32,6.46,-0.21,-1.87
14.68,-0.34,2.11,214.92,-4.39,6.87,0.23,-1.2
14.87,0.7,-1.88,204.67,-1.42,9.83,-0.25,-1.11
14.87,0.83,-4.19,206.17,1.62,9.56,-0.51,-1.72
14.96,0.75,-5.18,211.14,4.31,8.07,-0.45,-2.43
15.05,0.58,-8.04,201.27,6.6,7.2,-0.52,-3.04
15.14,1.06,-10.05,187.88,8.43,5.16,-0.72,-3.36
15.24,1.61,-10.46,184.44,9.67,2.51,-0.67,-2.97
15.34,1.55,-10.8,192.81,10.17,-0.36,-0.68,-2.11
15.41,0.72,-10.62,195.46,9.57,-4.29,-0.84,-1.11
15.51,1.21,-12.21,178.56,8.35,-6.84,-0.83,-0.65
15.61,2.02,-13.05,167.72,6.46,-7.51,-0.86,-1.02
15.79,0.84,-10.58,176.28,3.92,-6.22,-0.11,-1.91
15.79,-0.71,-7.31,177.47,1.17,-5.04,0.72,-3.11
15.87,-0.99,-4.25,161.47,-1.33,-3.51,1.01,-4.19
15.98,-0.14,-1.2,156.03,-4.07,-1.31,2.26,-5.25
16.07,0.04,0.34,169.07,-6.82,-1.68,2.65,-6.1
16.15,-0.23,1.36,169.6,-8.75,-1.71,1.91,-6.35
16.24,-1.1,2.96,165.22,-9.78,1.06,1.88,-5.67
16.36,-1.49,2.18,170.35,-9.52,6.74,1.52,-4.38
16.43,-0.65,-0.04,172.19,-8.65,10.7,1.09,-3.07
16.53,0.13,-2.44,170.11,-6.87,14.35,0.8,-1.8
16.71,-0.2,-4.22,161.61,-4.58,16.68,1.03,-1.04
16.74,-0.51,-5.28,161.61,-2.08,15.31,1.23,-0.96
16.8,0.15,-6.73,164.17,0.71,16.7,0.73,-1.47
16.91,0.31,-7.82,163.43,3.68,14.99,0.27,-2.22
16.98,0.53,-8.86,160.09,6.27,9.73,-0.14,-2.89
17.06,0.64,-10.04,158.88,8.11,9.86,0.22,-3.33
17.17,0.51,-10.12,175.43,9.44,6.33,0.21,-3.16
17.27,0.69,-10.49,183.66,9.81,-1.7,-0.58,-2.41
17.36,1.56,-12.83,171.37,9.57,-1.99,-0.39,-1.46
17.45,1.66,-13.52,178.58,8.51,-3.32,-0.63,-0.79
17.64,0.47,-11.11,200.07,6.64,-9.8,-1.52,-1.03
17.64,-0.49,-8.7,202.23,3.92,-11.45,-1.08,-1.9
17.74,-0.27,-8.67,193.21,1.23,-9.36,-0.76,-3.07
17.82,-0.33,-8.46,196.0,-1.3,-8.93,-1.23,-4.22
17.91,-1.65,-6.55,211.0,-3.91,-9.36,-0.94,-5.28
18.01,-1.36,-4.48,211.45,-6.08,-6.93,-0.45,-6.15
18.1,-0.34,-1.47,202.25,-7.8,-3.09,-0.69,-6.35
18.18,-0.76,2.36,207.57,-9.01,-2.67,-0.19,-5.75
18.28,-1.5,5.33,212.91,-9.78,-2.51,0.73,-4.59
